Investor_Id,hhi,year,status
11111-86,1,1993,0
11115-19,1,1993,0
11115-28,1,1993,0
11122-12,0.25,1993,0
11153-98,0.5555555555555556,1993,0
11162-08,1,1993,0
11173-60,1,1993,0
11179-99,1,1993,0
11184-49,0.5,1993,0
11191-96,1,1993,0
11192-68,1,1993,0
11207-89,1,1993,0
11211-40,0.28,1993,0
11228-50,0.25,1993,0.8159484126343631
11237-95,1,1993,0
11251-81,0.5,1993,0
11265-13,1,1993,0
11295-73,0.3333333333333333,1993,0
11304-28,1,1993,5.5076517852819515
11308-51,1,1993,0
11326-33,1,1993,0
40668-76,1,1993,0
44459-02,1,1993,0
51077-44,1,1993,0
51702-67,1,1993,0
51747-13,1,1993,0
63967-15,0.5,1993,0
10052-20,1,1994,4.250521732065617
10070-83,0.25,1994,5.3131521650820215
10139-41,0.3333333333333333,1994,5.3131521650820215
10181-17,1,1994,0
11114-11,1,1994,0
11115-28,0.5555555555555556,1994,0
11120-59,0.3333333333333333,1994,0
11121-85,0.5,1994,0
11124-28,1,1994,0
11127-88,1,1994,0
11137-87,1,1994,0
11139-04,1,1994,0
11151-91,1,1994,0
11153-98,0.375,1994,0
11161-36,1,1994,0
11162-08,1,1994,0
11169-91,1,1994,0
11173-60,1,1994,0
11177-20,1,1994,0
11184-67,1,1994,0
11190-70,1,1994,0
11191-96,0.3333333333333333,1994,0
11193-13,1,1994,0
11194-12,1,1994,0
11211-40,0.25,1994,0
11219-23,0.5,1994,0
11228-50,0.15625,1994,0.26565760825410106
11251-81,0.375,1994,0
11258-83,1,1994,0
11262-52,1,1994,0
11263-42,1,1994,0
11263-51,1,1994,0
11277-37,1,1994,0
11281-06,1,1994,0
11291-32,1,1994,0
11295-73,0.2345679012345679,1994,0
11295-91,1,1994,0
11303-56,1,1994,0
11304-28,0.5,1994,2.3245040722233843
11308-51,0.5555555555555556,1994,0
11317-42,1,1994,0
11318-77,1,1994,0
11322-28,1,1994,-0
11325-43,0.5,1994,0
11326-33,0.375,1994,0
11335-42,1,1994,0
179240-41,1,1994,0
40849-84,1,1994,0
41699-53,1,1994,0
42259-87,1,1994,0
42871-51,1,1994,0
51050-17,1,1994,0
51090-58,1,1994,0
51131-71,1,1994,0
51516-10,1,1994,0
51747-13,1,1994,0
52369-93,1,1994,0
54334-18,1,1994,0
